0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:04:11 +0200] "GET /signup/assets/img/avataaars.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:04:11 +0200] "GET /signup/assets/img/portfolio/cabin.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:04:11 +0200] "GET /signup/assets/img/portfolio/cake.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:04:11 +0200] "GET /signup/assets/img/portfolio/circus.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:04:11 +0200] "GET /signup/assets/img/portfolio/game.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:04:11 +0200] "GET /signup/js/scripts.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:04:11 +0200] "GET /signup/assets/img/portfolio/safe.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:04:11 +0200] "GET /signup/assets/img/portfolio/submarine.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:04:21 +0200] "GET /signup/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:04:21 +0200] "GET /signup/login.jsp HTTP/1.1" 200 4058
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:04:21 +0200] "GET /signup/vendor/jquery/jquery.min.js HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:04:21 +0200] "GET /signup/alert/dist/sweetalert.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:04:23 +0200] "GET /signup/registration.jsp HTTP/1.1" 200 5894
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:04:23 +0200] "GET /signup/vendor/jquery/jquery.min.js HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:04:23 +0200] "GET /signup/alert/dist/sweetalert.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:23:02 +0200] "GET /signup/registration.jsp HTTP/1.1" 200 5894
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:23:02 +0200] "GET /signup/vendor/jquery/jquery.min.js HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [21/Nov/2024:22:23:02 +0200] "GET /signup/alert/dist/sweetalert.css HTTP/1.1" 404 796
